"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1312","Should fetch current user info successfully","chromium","Sun Nov 30 23:08:56 WAT 2025","passed","Sun Nov 30 23:08:58 WAT 2025","Get Current User Info API","GetCurrentUserInfo.spec.ts","",""
"","338","Fail when invalid authorization token is provided","chromium","Sun Nov 30 23:08:51 WAT 2025","passed","Sun Nov 30 23:08:51 WAT 2025","Connect to a Client Endpoint Validation","Connect_To_A_Client.spec.ts","",""
"","883","should return error when required fields are missing","chromium","Sun Nov 30 23:09:03 WAT 2025","passed","Sun Nov 30 23:09:04 WAT 2025","Update User Info API","UpdateUserInfo.spec.ts","",""
"","398","Rejects request with no or invalid token","chromium","Sun Nov 30 23:08:56 WAT 2025","passed","Sun Nov 30 23:08:57 WAT 2025","Client Creation Endpoint Validation","CreatNewClient.spec.ts","",""
"","594","Scenario: Positive Test Case: Valid email requests OTP successfully (Expect Status: 200)","chromium","Sun Nov 30 23:08:59 WAT 2025","passed","Sun Nov 30 23:08:59 WAT 2025","OTP Request Endpoint Validation","RequestOtp.spec.ts","",""
"","650","Scenario: Negative Test Case: Non-existent user email (Security check) (Expect Status: 200)","chromium","Sun Nov 30 23:08:59 WAT 2025","passed","Sun Nov 30 23:09:00 WAT 2025","OTP Request Endpoint Validation","RequestOtp.spec.ts","",""
"","1613","should return 422 when username is already in use","chromium","Sun Nov 30 23:09:04 WAT 2025","passed","Sun Nov 30 23:09:05 WAT 2025","Update User Info API","UpdateUserInfo.spec.ts","",""
"","348","Fail when no authorization token is provided","chromium","Sun Nov 30 23:08:51 WAT 2025","passed","Sun Nov 30 23:08:51 WAT 2025","Connect to a Client Endpoint Validation","Connect_To_A_Client.spec.ts","",""
"","531","Scenario: Negative Test Case: Empty string email in request body (Invalid Check) (Expect Status: 422)","chromium","Sun Nov 30 23:08:59 WAT 2025","passed","Sun Nov 30 23:08:59 WAT 2025","OTP Request Endpoint Validation","RequestOtp.spec.ts","",""
"","1027","Scenario: Positive Test Case: Valid Email and OTP Code (Expect 200)","chromium","Sun Nov 30 23:08:59 WAT 2025","passed","Sun Nov 30 23:09:00 WAT 2025","OTP Verification Endpoint Validation","VerifyOTP.spec.ts","",""
"","702","Fail when redirect_uri is missing","chromium","Sun Nov 30 23:08:51 WAT 2025","passed","Sun Nov 30 23:08:51 WAT 2025","Connect to a Client Endpoint Validation","Connect_To_A_Client.spec.ts","",""
"","738","Should return 401 when using expired token","chromium","Sun Nov 30 23:08:57 WAT 2025","passed","Sun Nov 30 23:08:58 WAT 2025","Get Current User Info API","GetCurrentUserInfo.spec.ts","",""
"","563","Should return 401 when using invalid token","chromium","Sun Nov 30 23:08:57 WAT 2025","passed","Sun Nov 30 23:08:58 WAT 2025","Get Current User Info API","GetCurrentUserInfo.spec.ts","",""
"","579","Should return 401 when Authorization header is missing","chromium","Sun Nov 30 23:08:57 WAT 2025","passed","Sun Nov 30 23:08:58 WAT 2025","Get Current User Info API","GetCurrentUserInfo.spec.ts","",""
"","1129","Fail when invalid client_id is provided","chromium","Sun Nov 30 23:08:51 WAT 2025","passed","Sun Nov 30 23:08:52 WAT 2025","Connect to a Client Endpoint Validation","Connect_To_A_Client.spec.ts","",""
"","1242","Should list all clients successfully","chromium","Sun Nov 30 23:08:57 WAT 2025","passed","Sun Nov 30 23:08:59 WAT 2025","List All Clients API","ListAllClients.spec.ts","",""
"","431","Should return 401 for invalid bearer token","chromium","Sun Nov 30 23:08:58 WAT 2025","passed","Sun Nov 30 23:08:58 WAT 2025","List All Clients API","ListAllClients.spec.ts","",""
"","1015","Scenario: Negative Test Case: Truly Invalid 6-Digit OTP code (Expect 403)","chromium","Sun Nov 30 23:08:59 WAT 2025","passed","Sun Nov 30 23:09:00 WAT 2025","OTP Verification Endpoint Validation","VerifyOTP.spec.ts","",""
"","604","Negative Test Case: Should fail with 404 Not Found for GET request","chromium","Sun Nov 30 23:08:58 WAT 2025","passed","Sun Nov 30 23:08:59 WAT 2025","OTP Request Endpoint Validation","RequestOtp.spec.ts","",""
"","1489","Successfully connect to a valid client","chromium","Sun Nov 30 23:08:51 WAT 2025","passed","Sun Nov 30 23:08:52 WAT 2025","Connect to a Client Endpoint Validation","Connect_To_A_Client.spec.ts","",""
"","466","Should return 401 when Authorization header is missing","chromium","Sun Nov 30 23:08:57 WAT 2025","passed","Sun Nov 30 23:08:58 WAT 2025","List All Clients API","ListAllClients.spec.ts","",""
"","957","Scenario: Negative Test Case: Missing OTP code (Expect 422)","chromium","Sun Nov 30 23:09:00 WAT 2025","passed","Sun Nov 30 23:09:01 WAT 2025","OTP Verification Endpoint Validation","VerifyOTP.spec.ts","",""
